NUMBER_1,X_WORLD_1,Y_WORLD_1,X_IMAGE_1,Y_IMAGE_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,THRESHOLD_1,FLUX_MAX_1,ISOAREA_IMAGE_1,THETA_IMAGE_1,FLAGS_1,ELONGATION_1,ELLIPTICITY_1,NUMBER_2,X_WORLD_2,Y_WORLD_2,X_IMAGE_2,Y_IMAGE_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,THRESHOLD_2,FLUX_MAX_2,ISOAREA_IMAGE_2,THETA_IMAGE_2,FLAGS_2,ELONGATION_2,ELLIPTICITY_2,Separation,B_V
6458,154.43534548277674,-46.4933891924946,2472.6472,2829.9236,2561.1152,62.379772,20.252928,0.026451146,99.08923,68.92337,119.42116,28,15.5782995,0,1.1072595,0.09686935,7546,154.43537096264794,-46.49345541401393,2472.8032,2830.5364,8430.187,128.61302,19.425407,0.016568286,250.58694,152.23218,383.06946,35,13.102535,0,1.1206157,0.10763347,0.2466193681886919,0.8275204
6459,154.31731846254837,-46.49462531975302,1722.4952,2834.7769,5238.6333,87.52915,19.475956,0.018145317,97.149666,68.92337,144.26288,51,43.237858,0,1.334293,0.25053942,7539,154.31733042752228,-46.494752131091346,1722.5619,2835.948,20014.938,191.57419,18.486614,0.010394715,246.81941,152.23218,535.1823,72,38.493847,0,1.2707658,0.21307296,0.45748285064482574,0.98934174
6460,154.11356616850554,-46.49486393645081,427.64386,2828.2961,1821.5328,53.095417,20.622908,0.03165555,93.625244,68.92337,116.50853,21,-4.1250424,0,1.0947611,0.08655876,7541,154.11348113249383,-46.49496433570009,427.09842,2829.2202,9807.211,137.27824,19.261135,0.015201486,231.75124,152.23218,391.83447,39,-46.176315,0,1.0807555,0.07472128,0.4183904453111296,1.3617725
6461,154.27674726382676,-46.498972668692886,1464.3689,2872.9124,391917.44,642.3623,14.791014,0.0017799807,95.32208,68.92337,6052.318,436,-13.072275,0,1.1059362,0.09578866,7547,154.27674603268443,-46.49903327915353,1464.3569,2873.472,867494.44,983.78894,14.394333,0.0012315869,239.10248,152.23218,17680.379,433,3.8906438,0,1.0534989,0.050782025,0.21821898684812321,0.39668083
6462,154.11549257779623,-46.49616206772942,439.82098,2840.3462,9419.932,113.941895,18.83888,0.013136072,93.707794,68.92337,227.9819,75,-22.757318,0,1.1611847,0.13881058,7551,154.11546069806133,-46.49623588276131,439.6147,2841.0264,23111.242,200.65013,18.330442,0.009428574,231.85693,152.23218,621.9136,74,-19.391922,0,1.1096671,0.09882879,0.2772301550884792,0.5084381
6463,154.05388318495338,-46.4966089842447,48.280067,2842.4944,14789.789,135.29637,18.349094,0.009934682,95.95004,68.92337,380.31073,74,25.127666,2,1.1559128,0.13488287,7548,154.05381361139442,-46.49668568584803,47.834633,2843.2002,42614.07,251.01344,17.666117,0.0063969623,228.03398,152.23218,1024.6865,88,23.070387,2,1.2285886,0.18605787,0.32553622368297913,0.6829777
6464,154.42830885918377,-46.50005380607257,2427.3516,2891.0222,253818.47,528.2005,15.262692,0.0022599841,98.333115,68.92337,2948.9614,530,61.164223,0,1.4780848,0.32344884,7553,154.42832141293388,-46.50006648506953,2427.4302,2891.14,640661.3,875.1025,14.723429,0.0014834068,247.7058,152.23218,8810.25,540,64.22694,0,1.4962702,0.33167148,0.0552375551489697,0.5392637
6465,154.34876550450963,-46.49529054084611,1922.2858,2842.5552,10162.291,116.95131,18.756521,0.01249808,98.173965,68.92337,271.10773,74,-20.314367,0,1.0969563,0.088386595,7549,154.34874918045153,-46.495368373578096,1922.176,2843.2727,33379.156,228.87192,17.93131,0.0074464106,247.62798,152.23218,1017.96484,82,6.491147,0,1.051525,0.049000263,0.2831033267766333,0.8252106
6466,154.45028008209135,-46.49604526841323,2567.3184,2855.3513,22323.664,169.0983,17.902086,0.008226282,98.090675,68.92337,392.6435,132,46.721237,0,1.2279311,0.1856221,7559,154.4503095715634,-46.49610759470643,2567.5002,2855.9285,60756.35,303.7661,17.281021,0.0054297205,248.81421,152.23218,1308.8085,136,51.133892,0,1.2787193,0.21796751,0.23597675538182467,0.62106514
6467,154.60613748351776,-46.493829532601836,3557.966,2845.462,10186.292,117.05388,18.75396,0.012479567,94.58817,68.92337,271.90558,74,62.61969,0,1.0682983,0.06393194,7564,154.60622344705368,-46.493883876386136,3558.5063,2845.97,17103.68,173.44012,18.657276,0.0110126,237.30461,152.23218,572.0612,56,-16.17358,0,1.0096793,0.009586513,0.289246695523342,0.0966835
