#ANN    39   1.5 2.0
        40 2118.100000 1960.190000      15.2638      0.00242       201.02           253570         OK   8.100000   0.000000   0.000000   annulus     circle
#ANN    40   1.5 2.0
        41 2333.380000 1971.570000      14.2265       0.0015       363.01           659160         OK   9.700000   0.000000   0.000000   annulus     circle
#ANN    41   1.5 2.0
        42 2353.030000 1973.040000      15.8389      0.00347       355.63           149300         OK   6.700000   0.000000   0.000000   annulus     circle
#ANN    42   1.5 2.0
        43 2224.350000 1938.770000      14.0434      0.00133       270.34           780280         OK   9.800000   0.000000   0.000000   annulus     circle
#ANN    43   1.5 2.0
        44 2232.390000 2014.050000      20.1511      0.08028       282.13           2812.9         OK   5.400000   0.000000   0.000000   annulus     circle
#ANN    44   1.5 2.0
        45 2317.450000 2059.760000       17.377      0.00952       302.26            36208         OK   6.600000   0.000000   0.000000   annulus     circle
#ANN    45   1.5 2.0
        46 2141.910000 2083.990000      16.6713       0.0056       321.81            69354         OK   6.100000   0.000000   0.000000   annulus     circle
#ANN    46   1.5 2.0
        47 2306.660000 2043.780000      17.2393      0.00842       310.57            41105         OK   6.300000   0.000000   0.000000   annulus     circle
#ANN    47   1.5 2.0
        48 2165.050000 2016.050000      17.1164      0.00764        265.8            46029         OK   6.700000   0.000000   0.000000   annulus     circle
#ANN    48   1.5 2.0
        49 2339.200000 1997.240000      17.2975      0.00914       482.43            38959         OK   5.400000   0.000000   0.000000   annulus     circle
#ANN    49   1.5 2.0
        50 2294.680000 1967.680000      15.6594      0.00307       412.82           176140         OK   6.000000   0.000000   0.000000   annulus     circle
#ANN    50   1.5 2.0
        51 2299.090000 1977.150000      14.6638      0.00186       463.63           440630         OK   7.500000   0.000000   0.000000   annulus     circle
#ANN    51   1.5 2.0
        52 2136.140000 2052.620000      15.1526      0.00223       213.17           280900         OK   7.100000   0.000000   0.000000   annulus     circle
#ANN    52   1.5 2.0
        53 2198.310000 2116.000000      15.0572      0.00237       404.39           306690         OK   8.400000   0.000000   0.000000   annulus     circle
#ANN    53   1.5 2.0
